Price,Close,High,Low,Open,Volume
Ticker,V,V,V,V,V
Date,,,,,
2023-11-06,239.90330505371094,241.17429624784046,239.03626297770242,240.4057871473861,5254100
2023-11-07,241.16445922851562,241.4600431337377,239.79493500054124,239.82449188766125,4219700
2023-11-08,240.8287353515625,241.658120176772,239.73275716609723,240.41404293895778,5117500
2023-11-09,238.58741760253906,241.3915369286833,237.92588336428852,241.24343787013032,4866600
2023-11-10,242.15179443359375,242.17154599515442,238.91323137489147,240.89783392996583,4094400
2023-11-13,241.57911682128906,242.57635221092315,241.02619363234237,241.904949786067,4088500
2023-11-14,243.82046508789062,244.7979489989271,242.47764505850145,243.0601881057292,14092000
2023-11-15,244.97567749023438,245.10404004783257,242.24066611774782,243.69209711233626,13258900
2023-11-16,245.4298553466797,246.29872817834416,244.14627506127943,245.44959184178953,7051600
2023-11-17,246.4073486328125,247.07876614301426,245.5187242058694,246.29873764142815,7238200
2023-11-20,246.81216430664062,247.7600283206689,242.49737474143112,246.45671153487328,8604200
2023-11-21,249.0436248779297,250.13960307362882,246.87142004903828,246.87142004903828,7213700
2023-11-22,250.51480102539062,251.32443427513522,249.46819422970674,249.80389545360015,5701400
2023-11-24,251.0874786376953,251.48241948603768,250.29758187498294,250.978867644497,1640900
2023-11-27,250.9294891357422,251.7588739332908,249.32995915960885,251.08747149699732,5478900
2023-11-28,249.74465942382812,250.9393652866314,248.43145925333803,250.6431671824836,5234900
2023-11-29,251.01837158203125,252.83513877100444,250.3173492719736,250.71229014529942,4955100
2023-11-30,253.43740844726562,253.5262678803947,249.9717549609798,251.03811335661268,6874700
2023-12-01,253.21034240722656,253.66452290362173,250.69253784952195,252.55866134268825,3939400
2023-12-04,251.2257080078125,254.138453245322,251.1368485773466,252.67713896953217,5247500
2023-12-05,251.39356994628906,251.60092369274523,248.95477169344855,250.978877519405,4199100
2023-12-06,251.0775909423828,253.5854969242531,250.32719731721525,252.56852501081858,3874000
2023-12-07,252.5883026123047,252.90426737086042,250.29760331086248,251.67004321552744,3589300
2023-12-08,252.50929260253906,252.80550577510036,250.6629056976562,251.7786354523583,3732300
2023-12-11,253.27943420410156,254.37542751197014,251.77864684300923,251.77864684300923,6479300
2023-12-12,256.28106689453125,256.43904928634095,253.16098245342548,254.04960704180226,5946600
2023-12-13,259.0654296875,259.1641724411265,255.42204204270675,255.87622255091895,4859900
2023-12-14,255.46151733398438,259.92440607025304,253.16093496661048,259.86516645094383,8168700
2023-12-15,254.77037048339844,255.10607173277714,251.23559391809997,251.2948335425752,13374000
2023-12-18,255.10609436035156,256.3106837182887,254.69141695224363,255.43194245592483,6041100
2023-12-19,256.70556640625,257.05115092266783,253.95083385241347,255.34299496737876,8731200
2023-12-20,253.86196899414062,257.5251230396835,253.83234918311183,257.2091583006725,7240900
2023-12-21,256.26129150390625,256.7055886646363,253.7928735041092,254.25693729335327,6246700
2023-12-22,255.1653289794922,257.9102089206212,254.95799027950966,256.71550290178567,5111500
2023-12-26,255.8861083984375,256.45876816384595,255.26406218969808,255.26406218969808,2085100
2023-12-27,255.6589813232422,256.48836615364024,255.04681848166663,255.97494605826685,4034700
2023-12-28,257.1103820800781,257.67318854840926,255.27389377127392,255.27389377127392,3020500
2023-12-29,257.06103515625,258.15699819366773,256.38963274781105,257.2782571274571,4074900
2024-01-02,255.59974670410156,256.8043359144087,254.41492412265512,256.33038880259636,5471000
2024-01-03,254.72100830078125,255.5898661504044,253.6151316946075,255.2837847203204,4148300
2024-01-04,256.3304138183594,257.7423719771616,254.74076690686385,254.8098898505095,3843000
2024-01-05,256.409423828125,258.1570531512065,255.48129612920678,257.4856505998366,3748400
2024-01-08,259.223388671875,259.3023647884138,256.6661112836522,257.64359515260253,4659000
2024-01-09,260.00335693359375,260.28970182048124,257.8410507747037,258.6901719903713,7055800
2024-01-10,261.2178649902344,262.0176300146361,259.5393286911868,261.6226891595825,4355800
2024-01-11,260.6945495605469,262.8272662379932,259.0851362716369,262.1064773650055,5599000
2024-01-12,260.83282470703125,262.19536622730806,260.3786140682145,261.7806888482849,4656100
2024-01-16,261.8892517089844,262.3039591676895,259.0357763306569,260.190979015525,6196400
2024-01-17,263.2616882324219,263.7257519633136,261.04999562496425,261.0796154319552,5118700
2024-01-18,264.75262451171875,265.3845237771567,263.0543519210293,264.4958994274819,6694300
2024-01-19,267.4777526855469,267.7245944709953,263.67638316322973,264.7921128545854,7226500
2024-01-22,267.77398681640625,268.90945302811525,266.9445718827889,268.8008269714528,5984300
2024-01-23,267.833251953125,268.4355315169056,266.5003001288824,268.11956676276293,5883000
2024-01-24,268.2183532714844,269.41305941116974,267.65554661111355,269.126744554823,5021700
2024-01-25,269.1661376953125,269.3340033647985,267.37900560821623,268.51450190850517,6894900
2024-01-26,264.5551452636719,267.4481236577148,262.24470984736075,262.58041104815265,8586500
2024-01-29,270.202880859375,271.59507206899957,263.3406675464411,263.5973926315222,6574500
2024-01-30,273.6488342285156,275.1200319580042,270.7262355316128,271.12117641518483,6549000
2024-01-31,269.8080139160156,276.4529769514939,269.72900765341393,273.61923745488343,6139300
2024-02-01,273.550048828125,273.68829468845456,269.90666174096555,269.93631168136756,7065000
2024-02-02,273.67840576171875,274.98173756643723,272.197355110553,274.1029663833603,4848700
2024-02-05,272.0986633300781,274.48810541953367,271.6543661307563,273.89567902171297,4899100
2024-02-06,273.2637634277344,273.38224267386306,270.56824005008,271.32850196744363,4400000
2024-02-07,275.8605041503906,276.00860318662757,273.5599219699855,275.85062083729076,4785900
2024-02-08,272.8038635253906,276.6419965561175,272.3092593758277,276.52329639034105,5833400
2024-02-09,273.4468688964844,274.18877519140983,271.13212487890627,272.0323081393385,4618300
2024-02-12,272.10150146484375,273.6842405913468,271.2804417695868,273.4468101000167,3676200
2024-02-13,272.8335266113281,274.9998951065432,269.8164535064985,270.7957600194827,5493800
2024-02-14,274.5646667480469,274.64382032132954,271.74541691765126,273.48643327095385,4218400
2024-02-15,277.9477844238281,278.0862579006078,274.5646784455713,274.65370357812486,4834800
2024-02-16,275.55389404296875,278.0862651737612,274.8713378206287,277.927988204556,6630700
2024-02-20,272.1806640625,273.85242854359336,270.39019941275376,271.6069365179303,6157200
2024-02-21,273.7733154296875,273.9810407326217,270.578161558468,271.6662967923387,4770100
2024-02-22,280.6878662109375,280.9945183809896,275.9693533013439,276.16717685621217,5100200
2024-02-23,280.53948974609375,282.86413537018393,280.4405628749796,281.64739825078965,5107700
